2020-10-30,11:26:24,真的 太 好看 了   一定 二 刷    尤其 最後 真的 很 感人 ,佑赫,34,75,5
2020-10-30,12:30:36,沒 帶 面紙 真的 是 失策   整 場 大爆哭   尤其 後面 半 小時 … 到 片尾曲 結束 都 捨不得 離開 座位 ,悠悠,19,41,5
2020-10-30,12:48:50,超 感人   可樂   爆米花 不一定 要 有   但 面紙 記得 帶   散場 全部 的 人 都 等到 最後 一 刻   真的 捨不得 ,ㄚ翰,23,54,5
2020-10-30,13:40:03,"看 新竹 巨城 早場 ， 原本 以為 人 很多   但 沒想像 的 多 或許 是 平日 早上 
 對 動畫 電影 一直 是 抱持 不 上 影城 ， 只 等 下檔 找 網路 來 看
 看到 日本 那 個 票房 與 網路 一些 心得 想說 閒閒 沒 事 去 看 
 哭 點 很 高 的 我   在 後面 鼻頭 的 酸 不 是 普通 可以 形容   我 想 很多 人 都 會 被 逼哭  
 炎柱 與 母親 的 對談到 現在 還 讓 我 印象 深刻   現實 是 不 是 就 該 如此 才 美好 呢 ? 
 在 考慮 要不要 在 二 刷      最後 想 跟 各位 說   這 部 真的 是 部 好 電影   真的 好看 
 記得 帶 面紙 ， 不要 戴 隱形眼鏡 ",隨無飄渺,35,74,5
2020-10-30,13:59:23,感謝 幽浮社 ， 感謝 配音員 ， 感謝 LISA ， 成就 經典 動畫 ！ 謝謝 鱷魚 老師 雖然 篇章 不 長 但 會 永垂不朽 的 ～ ,F1,28,61,5
2020-10-30,14:42:53,"太 感動 了 ～ 這 部 真的 是 神作
 一 刷 二 刷 三 刷 ！ ！ ！ ",暉暉仔,14,25,5
2020-10-30,15:09:36,動畫 還 沒 看   未 看 先 猜 絕對 好看    上 弦 三粉絲 報到 ,菲,21,48,5
2020-10-30,16:02:33,"太 感動 了 一定 二刷三刷
 記得 要 帶 衛生紙 ",dffwexx,11,17,5
2020-10-30,16:49:04,太 感動 了 啦 ！ 一定 要 二 刷三刷   記得 要 帶 大 包 衛生紙 ,jfjyfjyrt,14,21,5
2020-10-30,16:57:15,太 值得 二 刷 了 ， 戰鬥 畫面 非常 的 精采 都 不能 錯過 ， 後面 非常 的 精彩 ， 大家 有空 去 看 ,李,19,37,5
2020-10-30,17:00:53,看完 大爆哭   嗚嗚 嗚嗚 嗚嗚   後勁 很 強   一直 流淚 ,QQ,19,36,5
2020-10-30,17:12:45,值得 再一次 二 刷 ！ 真的 太 好看 了 ， 衛生紙 要 帶 多一點 ,花哥,19,40,5
2020-10-30,17:17:48,大哥 沒有 輸 ! ! ! ! ! ! ! ! ! ! ! ! ! ! ,瑛村,27,56,5
2020-10-30,17:43:59,"很少 看 動畫片 的 我 覺得 超好 看
 沒有 冷場   非常 感人   都 快 哭 了 ~ ",牛,17,37,5
2020-10-30,17:53:58,本來 只是 想 陪伴 孩子 看   沒想到 電影 非常 好看   無 冷場   很 勵志 的 電影   值得 推薦 ,灝灝,30,63,5
